file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,finetune_activation,loss_type,n_steps,rank,seed,lr,n_per_class,anchor_alpha,dataset,source,finetune_optimizer,verify_weight
exp_b_T1_fashion_r8_s42_a149_mish.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,0.00014784187721619742,2,0.9999995699536066,True,mish,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_mish_npc5_vw5.pth,lora,0.14510320127010345,0.19260501861572266,0.22258195281028748,0.23950541019439697,0.20695526897907257,1546.181396484375,12.02945327758789,0.21696428954601288,-0.9568578248061645,1.8274393141854723,0.06933754682540894,0.09620390832424164,0.16351193189620972,0.07576565444469452,0.05907002091407776,0.013921215269503052,6,0.9991639510557981,False,mish,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_relu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,7.085542657457724e-06,2,0.9999463691013619,True,relu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_relu_npc5_vw5.pth,lora,0.17911119759082794,0.23778097331523895,0.27969080209732056,0.3025668263435364,0.20695526897907257,1373.8477783203125,8.653826713562012,0.05969387665390968,-0.0912205573029131,0.9297369972812922,0.0912545695900917,0.13020826876163483,0.20470848679542542,0.08785662800073624,0.07498231530189514,0.02649191083877192,5,0.9332274171532312,False,relu,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_selu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,1.4179955215605676e-10,2,1.0,True,selu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_selu_npc5_vw5.pth,lora,0.18815886974334717,0.24964579939842224,0.2897775173187256,0.3169110417366028,0.20695526897907257,1330.5537109375,8.539335250854492,0.06198979541659355,-0.10643289906132664,0.9297369975904787,0.09245902299880981,0.13384521007537842,0.2069993019104004,0.09569984674453735,0.0827782154083252,0.05237580062477494,3,0.9752729997003524,False,selu,l2,1,8,42,0.01,5,0.0,fashion,all,sgd,5.0
exp_b_T1_fashion_r8_s42_a149_sigmoid.pth,lora,0.49841418862342834,0.5334690809249878,0.6003170013427734,0.596733570098877,0.645892322063446,1133.7039794921875,4.54240608215332,0.25255101919174194,-0.33509220126940004,1.114337013538005,0.24867558479309082,0.2140796184539795,0.29268476366996765,0.24973860383033752,0.3076322376728058,0.006754625316768394,2,0.9997415457648577,True,sigmoid,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_sigmoid_npc5.pth,lora,0.1623985469341278,0.21992246806621552,0.2624543309211731,0.2774619162082672,0.20695526897907257,1562.047607421875,8.796934127807617,0.05943877622485161,-0.09147392409574281,0.9297369975904787,0.08697672933340073,0.1256173551082611,0.19989672303199768,0.07542181760072708,0.06255760788917542,0.006459821748272035,8,0.9997544481149003,True,sigmoid,l2,1,8,42,0.01,5,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_silu.pth,lora,0.41600972414016724,0.4640432596206665,0.5997405052185059,0.5635049939155579,0.645892322063446,1597.3465576171875,4.991696357727051,0.2410714328289032,-0.122286800518616,0.8723164387257653,0.1630900800228119,0.14859673380851746,0.2710663676261902,0.25291964411735535,0.3286741375923157,0.0005799091908244693,2,0.9999935484224147,True,silu,l2,1,8,42,0.01,1,0.0,fashion,,,
exp_b_T1_fashion_r8_s42_a149_silu_npc5.pth,lora,0.1546502709388733,0.20282049477100372,0.23061910271644592,0.246799498796463,0.20695526897907257,1544.695068359375,10.777952194213867,0.16607142984867096,-0.8835556075641567,1.8155024764049643,0.08030151575803757,0.10467585176229477,0.18220767378807068,0.07434875518083572,0.048411428928375244,0.0092616332872964,8,0.9996380946701386,True,silu,l2,1,8,42,0.01,5,0.0,fashion,,,
