file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,ctrl_margin,ctrl_margin_norm,weight_change,delta_w_effective_rank,feature_stability,ntk_passed,finetune_activation,loss_type,n_steps,rank,seed,lr,n_per_class,anchor_alpha
exp_b_T1_r8_s42_a149_npc4.pth,lora,0.22729361057281494,0.22201991081237793,0.47600215673446655,0.3997359871864319,0.566837728023529,1496.078857421875,8.075508117675781,0.3789859712123871,-0.9416759280468305,1.7141048218515622,0.18663319945335388,0.16789793968200684,0.3642406463623047,0.04066041111946106,0.11176151037216187,0.02584107476850535,6,0.9413584446834563,False,,l2,1,8,42,0.01,4,0.0
exp_b_T1_r8_s42_a149_npc8.pth,lora,0.1894940286874771,0.19108127057552338,0.4519788324832916,0.3777148723602295,0.44787657260894775,1517.08544921875,8.0464506149292,0.3120216727256775,-0.9999997611824623,1.6906826128465577,0.16180534660816193,0.15828168392181396,0.39014241099357605,0.027688682079315186,0.061836421489715576,0.013157395925878642,7,0.9817528634159103,False,,l2,1,8,42,0.01,8,0.0
exp_b_T1_r8_s42_a149_silu.pth,lora,0.34087643027305603,0.2919313907623291,0.5590794086456299,0.4688776135444641,0.7630242109298706,1337.680908203125,8.203804016113281,0.3966836631298065,-0.9239926704070403,1.4939254427395594,0.27603089809417725,0.224943146109581,0.4390830397605896,0.06484553217887878,0.11999636888504028,0.036261248433160836,2,0.9760068436820131,False,silu,l2,1,8,42,0.01,1,
exp_b_T1_r8_s42_a149_silu_lr0.03.pth,lora,0.03819436579942703,0.02462933212518692,0.22038540244102478,0.08998066186904907,0.7630242109298706,1365.00048828125,18.50926971435547,0.5931122303009033,-1.0000708256222384,1.998068100256868,0.024859584867954254,0.02061186358332634,0.12211287766695023,0.013334780931472778,0.09827252477407455,0.10878374529948251,2,0.8261035417053242,False,silu,l2,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_silu_lr0.1.pth,lora,0.0386272668838501,0.02496940642595291,0.225702702999115,0.0927901417016983,0.7630242109298706,1364.0751953125,18.471435546875,0.5975765585899353,-1.00078401671229,1.9983600043968033,0.024884644895792007,0.020793970674276352,0.12541434168815613,0.01374262198805809,0.10028836131095886,0.36261248433160836,2,0.3757851106858633,False,silu,l2,1,8,42,0.1,1,0.0
exp_b_T1_r8_s42_a149_silu_lr0.3.pth,lora,0.03859361261129379,0.02485538274049759,0.22551694512367249,0.09265243262052536,0.7630242109298706,1364.142333984375,18.503257751464844,0.6026785969734192,-1.0070473470017653,2.000922763848883,0.024826854467391968,0.020703649148344994,0.12530377507209778,0.013766758143901825,0.10021317005157471,1.0878374529948251,2,0.14088236000281112,False,silu,l2,1,8,42,0.3,1,0.0
exp_b_T1_r8_s42_a149_softplus.pth,lora,0.49736374616622925,0.48660412430763245,0.6504870057106018,0.6085078716278076,0.7630242109298706,1149.797119140625,4.785266876220703,0.44387754797935486,-0.4912274193120428,1.3181432197616574,0.3819693922996521,0.30498701333999634,0.44795531034469604,0.11539435386657715,0.20253169536590576,0.03788677501534604,1,0.9930771053606906,False,softplus,l2,1,8,42,0.01,1,
exp_b_T1_r8_s42_a149_softplus_lr0.03.pth,lora,0.4973638951778412,0.48660337924957275,0.6504840850830078,0.6085052490234375,0.7630242109298706,1149.8319091796875,4.785351753234863,0.44515305757522583,-0.4911890044427879,1.3180988124477813,0.38197484612464905,0.30499088764190674,0.447961688041687,0.11538904905319214,0.2025223970413208,0.11366032504603811,1,0.9410950776400846,False,softplus,l2,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_softplus_lr0.1.pth,lora,0.4973638951778412,0.48660337924957275,0.6504840850830078,0.6085052490234375,0.7630242109298706,1149.8319091796875,4.785351753234863,0.44515305757522583,-0.49118900444278785,1.318098812447781,0.38197484612464905,0.30499088764190674,0.447961688041687,0.11538904905319214,0.2025223970413208,0.37886775015346047,1,0.6615304327986764,False,softplus,l2,1,8,42,0.1,1,0.0
exp_b_T1_r8_s42_a149_softplus_lr0.3.pth,lora,0.3337565064430237,0.301660418510437,0.46752414107322693,0.35167962312698364,0.7630242109298706,1038.7015380859375,13.281129837036133,0.5931122303009033,-1.000019356106846,1.9980602297653962,0.26732826232910156,0.19723351299762726,0.3743842840194702,0.06642824411392212,0.09313985705375671,1.1366032504603814,1,0.3855798610136274,False,softplus,l2,1,8,42,0.3,1,0.0
