file,dataset,T,rank,activation,lr,margin_norm,ssim,ctrl_ssim,ssim11,ctrl_ssim11,ssim_norm,ctrl_ssim_norm,ssim_norm11,ctrl_ssim_norm11,ncc,ctrl_ncc,l2,ctrl_l2,ssim_mean_baseline,ctrl_ssim_mean_baseline,clipped_fraction,ctrl_clipped_fraction
exp_b_T20_flowers32_r8_free_s42_a10000_lr0.0015.pth,flowers32,20,r8,(default),0.0015,0.219,0.6092209815979004,0.39977800846099854,0.6351274847984314,0.41292819380760193,0.5901652574539185,0.3712110221385956,0.6330755949020386,0.41316843032836914,4949.203125,6204.6748046875,6.606555938720703,9.850113868713379,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_flowers32_r32_free_s42_a10000_lr0.0006.pth,flowers32,5,r32,(default),0.0006,0.191,0.5920305252075195,0.40923410654067993,0.6263097524642944,0.42978501319885254,0.5728477835655212,0.381859689950943,0.6253372430801392,0.4316398501396179,4841.548828125,5353.2412109375,6.70007848739624,9.714315414428711,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_flowers32_r32_free_s42_a10000_lr0.002.pth,flowers32,5,r32,(default),0.002,0.1977,0.6105680465698242,0.4216934144496918,0.6421902179718018,0.4404004216194153,0.5912561416625977,0.3935756981372833,0.6411858797073364,0.4415518045425415,4218.88916015625,4895.287109375,6.525044918060303,9.585683822631836,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_flowers32_r32_free_s42_a10000_lr0.006.pth,flowers32,5,r32,(default),0.006,0.1893,0.5970272421836853,0.4164036512374878,0.6286981105804443,0.435036301612854,0.5782981514930725,0.3889774680137634,0.627806544303894,0.43671101331710815,4724.7373046875,5133.81982421875,6.662911415100098,9.634803771972656,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_flowers32_r8_free_s42_a10000_lr0.0006.pth,flowers32,5,r8,(default),0.0006,0.2219,0.6467774510383606,0.43609076738357544,0.6783573627471924,0.45679226517677307,0.6298145055770874,0.40789079666137695,0.6786435842514038,0.4581677317619324,2970.247314453125,4205.5732421875,6.170986175537109,9.379629135131836,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_flowers32_r8_free_s42_a10000_lr0.002.pth,flowers32,5,r8,(default),0.002,0.2083,0.6435908079147339,0.444803923368454,0.6704745292663574,0.4603269398212433,0.6270781755447388,0.4187406301498413,0.6712677478790283,0.4636351466178894,3122.78662109375,3888.78125,6.218748092651367,9.315601348876953,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_flowers32_r8_free_s42_a10000_lr0.006.pth,flowers32,5,r8,(default),0.006,0.1993,0.607404351234436,0.41441625356674194,0.640338659286499,0.4350737929344177,0.5896230340003967,0.39029982686042786,0.6405929327011108,0.4390707314014435,4053.560302734375,4810.28076171875,6.453444480895996,9.547872543334961,0.6463714241981506,0.452078640460968,0.0,0.0
exp_b_T5_full_free_s42_a149_leaky_relu_lr0.002.pth,mnist,5,full,leaky_relu,0.002,0.6667,0.9082248210906982,0.6527911424636841,0.961123526096344,0.5341510772705078,0.9177801609039307,0.25105535984039307,0.9689329862594604,0.3039841055870056,0.21588134765625,1155.02490234375,0.6298556327819824,8.429007530212402,0.7630242109298706,0.6115466952323914,0.40752550959587097,0.40752550959587097
exp_b_T5_r16_free_s42_a149_leaky_relu_lr0.00054.pth,mnist,5,r16,leaky_relu,0.00054,0.4505,0.8204493522644043,0.6195070743560791,0.8008685111999512,0.48324722051620483,0.8526073694229126,0.40210604667663574,0.8226418495178223,0.3839685916900635,12.45977783203125,1140.5955810546875,2.8997812271118164,8.190189361572266,0.7630242109298706,0.6115466952323914,0.42219385504722595,0.42219385504722595
exp_b_T5_r8_free_s42_a149_leaky_relu_lr0.00054.pth,mnist,5,r8,leaky_relu,0.00054,0.6058,0.7897409200668335,0.5869749188423157,0.7744269371032715,0.4714523255825043,0.8603343367576599,0.2545589506626129,0.8194283246994019,0.27938324213027954,73.64276123046875,1215.58544921875,2.5459132194519043,8.439826965332031,0.7630242109298706,0.6115466952323914,0.4464285671710968,0.4464285671710968
exp_b_T5_r8_free_s42_a149_leaky_relu_lr0.00178.pth,mnist,5,r8,leaky_relu,0.00178,0.6312,0.7054977416992188,0.49885648488998413,0.7241075038909912,0.41773146390914917,0.8420505523681641,0.21084514260292053,0.8260607719421387,0.255830317735672,36.3758544921875,1167.26416015625,1.9656100273132324,8.317153930664062,0.7630242109298706,0.6115466952323914,0.4457907974720001,0.4457907974720001
exp_b_T5_r8_free_s42_a149_leaky_relu_lr0.0054.pth,mnist,5,r8,leaky_relu,0.0054,0.4831,0.7451231479644775,0.5721921324729919,0.7323930263519287,0.46706533432006836,0.8350445032119751,0.35196608304977417,0.7849277257919312,0.3414935767650604,1233.1326904296875,1402.5504150390625,2.954040050506592,8.282371520996094,0.7630242109298706,0.6115466952323914,0.4011479616165161,0.4011479616165161
