activation,control_ssim,effective_lr,feature_stability,full_linearization_error,full_ssim,lora_linearization_error,lora_ssim,lr_schedule,n_steps,phase,rank,seed,weight_change
relu,0.23847854137420654,0.01,,,,2.174278595441466,0.3294064402580261,constant,5,1,64,42,
relu,0.6058412790298462,0.01,0.7490310356269712,8.99324438410663,0.7732251882553101,,,constant,10,1,,42,0.02500075969382002
relu,0.6058412790298462,0.01,0.7490310356269712,8.99324438410663,0.7732251882553101,1.1732263710634108,0.04460960254073143,constant,10,1,1,42,0.02500075969382002
relu,0.11852005124092102,0.01,,,,1.4346694240204434,0.15248122811317444,constant,10,1,4,42,
relu,0.16043466329574585,0.01,,,,1.7491394163872396,0.20906707644462585,constant,10,1,8,42,
relu,0.0990201011300087,0.01,,,,3.0897200563749174,0.14210502803325653,constant,10,1,32,42,
relu,0.5081608295440674,0.01,,,,4.081244544231009,0.65055251121521,constant,10,1,64,42,
relu,0.5977823734283447,0.01,0.7485836707391833,18.971917351426352,0.7512484192848206,,,constant,20,1,,42,0.025019001696114426
relu,0.5977823734283447,0.01,0.7485836707391833,18.971917351426352,0.7512484192848206,1.5942618712192216,0.1737256646156311,constant,20,1,1,42,0.025019001696114426
relu,0.09964503347873688,0.01,,,,2.2752226280867807,0.13940808176994324,constant,20,1,4,42,
relu,0.22210991382598877,0.01,,,,3.0619405458465794,0.27701500058174133,constant,20,1,8,42,
relu,0.09467373788356781,0.01,,,,5.922370372713711,0.12922732532024384,constant,20,1,32,42,
relu,0.05575359985232353,0.01,,,,7.940038063097444,0.08803471177816391,constant,20,1,64,42,
relu,0.39489278197288513,0.01,0.7481810798681925,48.826757519739324,0.4944363832473755,,,constant,50,1,,42,0.0250707422013443
relu,0.39489278197288513,0.01,0.7481810798681925,48.826757519739324,0.4944363832473755,3.2476526975125255,nan,constant,50,1,1,42,0.0250707422013443
relu,0.06313180923461914,0.01,,,,5.068105807181507,0.09775108844041824,constant,50,1,4,42,
relu,nan,0.01,,,,7.1563255815813545,nan,constant,50,1,8,42,
relu,0.14082564413547516,0.01,,,,14.244172267435395,0.11649282276630402,constant,50,1,32,42,
relu,0.2309621274471283,0.01,,,,19.209652836394273,0.31189268827438354,constant,50,1,64,42,
relu,nan,0.01,0.7460626836986453,98.34456065900655,nan,,,constant,100,1,,42,0.025148715937540762
relu,nan,0.01,0.7460626836986453,98.34456065900655,nan,6.1983272719314515,nan,constant,100,1,1,42,0.025148715937540762
relu,0.32016515731811523,0.01,,,,9.740488265571097,0.3054701089859009,constant,100,1,4,42,
relu,nan,0.01,,,,13.846053060818857,nan,constant,100,1,8,42,
relu,0.27930986881256104,0.01,,,,27.64724607438406,0.2716505527496338,constant,100,1,32,42,
relu,nan,0.01,,,,37.38212639978689,nan,constant,100,1,64,42,
relu,nan,0.01,0.7398716580894737,487.5163620901556,nan,,,constant,500,1,,42,0.025571199863799892
relu,nan,0.01,0.7398716580894737,487.5163620901556,nan,29.603028719955017,nan,constant,500,1,1,42,0.025571199863799892
relu,nan,0.01,,,,45.585572627543556,nan,constant,500,1,4,42,
relu,nan,0.01,,,,64.47079603940402,nan,constant,500,1,8,42,
relu,nan,0.01,,,,128.66297347161077,nan,constant,500,1,32,42,
relu,nan,0.01,,,,174.62131788417673,nan,constant,500,1,64,42,
relu,nan,0.01,0.7330390210684946,964.149607941016,nan,,,constant,1000,1,,42,0.025886041883301947
relu,nan,0.01,0.7330390210684946,964.149607941016,nan,58.20465482824136,nan,constant,1000,1,1,42,0.025886041883301947
relu,nan,0.01,,,,88.79486304677584,nan,constant,1000,1,4,42,
relu,nan,0.01,,,,125.20540403793368,nan,constant,1000,1,8,42,
relu,nan,0.01,,,,249.57661727135363,nan,constant,1000,1,32,42,
relu,nan,0.01,,,,339.1174802211033,nan,constant,1000,1,64,42,
