file,recon,ssim,ssim11,ssim_norm,ssim_norm11,ssim_mean_baseline,ncc,l2,clipped_fraction,pre_clamp_min,pre_clamp_max,ctrl_ssim,ctrl_ssim11,ctrl_ssim_norm,n_steps,rank,seed,lr,n_per_class,anchor_alpha
exp_b_T1_r8_free_s7_a149.pth,full,0.523882269859314,0.5226776003837585,0.6390883326530457,0.5885597467422485,0.6904239654541016,1520.760498046875,5.871667385101318,0.3169642984867096,-0.10465333063897612,1.03960865884378,0.3147711455821991,0.1875295788049698,0.4666610360145569,1,8,7,0.01,1,
exp_b_T1_r8_free_s7_a149.pth,lora,0.5240257382392883,0.5285184979438782,0.6446579694747925,0.5981794595718384,0.6904239654541016,1525.390869140625,5.86441707611084,0.3035714328289032,-0.11721676958252361,1.0372255384306321,0.31716135144233704,0.1898757517337799,0.4682549834251404,1,8,7,0.01,1,
exp_b_T1_r8_free_s8_a149.pth,full,0.5238901376724243,0.5254144668579102,0.738311231136322,0.6820316314697266,0.7070288062095642,1346.53857421875,5.837518692016602,0.3163265287876129,-0.09246891410762237,1.0720115429784507,0.3714693486690521,0.33160147070884705,0.5620580911636353,1,8,8,0.01,1,
exp_b_T1_r8_free_s8_a149.pth,lora,0.5344228148460388,0.5287395715713501,0.7370218634605408,0.6795965433120728,0.7070288062095642,1458.186279296875,5.87156867980957,0.3214285671710968,-0.09484810938622386,1.0418641408063833,0.38404327630996704,0.3375997543334961,0.5634479522705078,1,8,8,0.01,1,
exp_b_T1_r8_free_s9_a149.pth,full,0.5263022780418396,0.49225306510925293,0.6508260369300842,0.5913822650909424,0.7429673671722412,1482.5028076171875,5.161774635314941,0.34247449040412903,-0.09256078900330544,1.0130736919843133,0.3550449013710022,0.2212994396686554,0.4865662157535553,1,8,9,0.01,1,
exp_b_T1_r8_free_s9_a149.pth,lora,0.5296931266784668,0.4945061504840851,0.6521929502487183,0.5935173034667969,0.7429673671722412,1517.1046142578125,5.174969673156738,0.38201531767845154,-0.09793161836837024,0.9898534852309471,0.3574155271053314,0.22303630411624908,0.4894871413707733,1,8,9,0.01,1,
exp_b_T1_r8_s42_a10.pth,lora,0.1768774688243866,0.16576963663101196,0.479164719581604,0.3396906852722168,0.7630242109298706,1091.80517578125,12.229860305786133,0.4955357015132904,-1.000239042622169,1.5686744202225311,0.12281949818134308,0.11172929406166077,0.32372045516967773,1,8,42,0.01,1,
exp_b_T1_r8_s42_a10000.pth,lora,0.6916433572769165,0.7504938840866089,0.8118456602096558,0.8507919311523438,0.7630242109298706,77.350830078125,1.8027591705322266,0.37372449040412903,-0.13222746634663568,1.0609804171635426,0.5065796375274658,0.4552542269229889,0.29923856258392334,1,8,42,0.01,1,
exp_b_T1_r8_s42_a149_gelu.pth,lora,0.04127294570207596,0.02985425293445587,0.19819709658622742,0.08435560762882233,0.7630242109298706,1329.0765380859375,17.97730255126953,0.5625,-1.000012282920453,1.998044099624291,0.020253609865903854,0.017619838938117027,0.10256896913051605,1,8,42,0.01,1,
exp_b_T1_r8_s42_a149_gelu_lr0.03.pth,lora,0.038059961050748825,0.02715863101184368,0.1601969599723816,0.06636855006217957,0.7630242109298706,1335.3021240234375,18.412052154541016,0.5835459232330322,-1.0001140022008423,1.9980858622532292,0.01798037812113762,0.015575219877064228,0.08231794834136963,1,8,42,0.03,1,0.0
exp_b_T1_r8_s42_a149_silu.pth,lora,0.34087643027305603,0.2919313907623291,0.5590794086456299,0.4688776135444641,0.7630242109298706,1337.680908203125,8.203804016113281,0.3966836631298065,-0.9239926704070403,1.4939254427395594,0.27603089809417725,0.224943146109581,0.4390830397605896,1,8,42,0.01,1,
exp_b_T1_r8_s42_a149_softplus.pth,lora,0.49736374616622925,0.48660412430763245,0.6504870057106018,0.6085078716278076,0.7630242109298706,1149.797119140625,4.785266876220703,0.44387754797935486,-0.4912274193120428,1.3181432197616574,0.3819693922996521,0.30498701333999634,0.44795531034469604,1,8,42,0.01,1,
exp_b_T1_r8_s42_a150.pth,lora,0.18284626305103302,0.14279307425022125,0.3237912952899933,0.238661527633667,0.7630242109298706,1437.28271484375,12.001002311706543,0.5899234414100647,-1.0003470305457778,1.627602995565641,0.1358436644077301,0.10212229937314987,0.14921033382415771,1,8,42,0.01,1,
exp_b_T1_r8_s42_a50.pth,lora,0.14909037947654724,0.14423641562461853,0.2982628345489502,0.22529160976409912,0.7630242109298706,1092.9822998046875,12.059940338134766,0.5102040767669678,-1.000144786808231,1.613788498351985,0.08133792132139206,0.06665237993001938,0.1484002023935318,1,8,42,0.01,1,
exp_b_T2_full_s42_a149.pth,full,0.8126944303512573,0.8297150135040283,0.8613219261169434,0.8541663885116577,0.7630242109298706,12.57659912109375,2.332918405532837,0.3852040767669678,-0.04771646658254118,1.0151743728428844,0.6099891662597656,0.49824804067611694,0.392139732837677,2,,42,0.01,1,
exp_b_T5_full_s42_a149.pth,full,0.7573497295379639,0.7136327624320984,0.820832371711731,0.7459777593612671,0.7630242109298706,69.3741455078125,4.001314163208008,0.3297193944454193,-0.019875389433380616,0.9940154803546765,0.5939370393753052,0.4564855098724365,0.4884503483772278,5,,42,0.01,1,
exp_b_T5_r8_s42_a149.pth,lora,0.03480464965105057,0.022815942764282227,0.19134753942489624,0.07854487746953964,0.7630242109298706,1375.4349365234375,18.143512725830078,0.6039540767669678,-1.0001634075362342,1.9981038105279614,0.020334474742412567,0.015995867550373077,0.09876960515975952,5,8,42,0.01,1,
