activation,coeff_init,coeff_sign_weight,config_name,control_ssim,error,full_coeff_error,full_ssim,lora_coeff_error,lora_ssim,loss_type,min_coeff,n_per_class,n_steps,rank,seed,task
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,42,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.6367953419685364,,,,0.022292406167229967,0.8302083015441895,l2,0.05,1,1,8,42,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,7,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.3168094754219055,,,,0.24648965140973955,0.5260896682739258,l2,0.05,1,1,8,7,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,123,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.401896595954895,,,,0.253685373768043,0.5486228466033936,l2,0.05,1,1,8,123,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,999,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.3963332772254944,,,,0.26639517010474995,0.5182003974914551,l2,0.05,1,1,8,999,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,2026,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.3803211450576782,,,,0.23912859719732402,0.5306003093719482,l2,0.05,1,1,8,2026,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,1,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.3984559178352356,,,,0.2472325751735298,0.5646457672119141,l2,0.05,1,1,8,1,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,13,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.35656386613845825,,,,0.24735760414436916,0.5657904744148254,l2,0.05,1,1,8,13,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,37,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.39576035737991333,,,,0.24625618191858303,0.5377687811851501,l2,0.05,1,1,8,37,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,77,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.35080835223197937,,,,0.2481289108493489,0.49873459339141846,l2,0.05,1,1,8,77,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,256,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.4163524806499481,,,,0.25617371456059385,0.5878093838691711,l2,0.05,1,1,8,256,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,314,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.39015182852745056,,,,0.246892585960466,0.5596995949745178,l2,0.05,1,1,8,314,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,500,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.44430670142173767,,,,0.24829237366399054,0.5446645617485046,l2,0.05,1,1,8,500,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,777,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.3409329652786255,,,,0.24646169760384695,0.5151867270469666,l2,0.05,1,1,8,777,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,1234,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.41496095061302185,,,,0.2580542011968855,0.5512329339981079,l2,0.05,1,1,8,1234,seed_fix_ablation
,sign_aware,5.0,init+constraint,,Nothing to run: rank is None and run_baseline is False,,,,,l2,0.05,,,full,2025,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint,0.3993043899536133,,,,0.24912503522655607,0.5772151947021484,l2,0.05,1,1,8,2025,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,42,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.6463564038276672,,,,0.01034201057671394,0.8544707298278809,cosine,0.05,1,1,8,42,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,7,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.5138269662857056,,,,0.19694775151373892,0.7736409306526184,cosine,0.05,1,1,8,7,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,123,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.6156824827194214,,,,0.04255527735466278,0.8914273977279663,cosine,0.05,1,1,8,123,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,999,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.2500479221343994,,,,0.041727209845310295,0.3850398659706116,cosine,0.05,1,1,8,999,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,2026,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.5820596218109131,,,,0.04341581530791967,0.8428645133972168,cosine,0.05,1,1,8,2026,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,1,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.602087140083313,,,,0.041749717228044346,0.8971129059791565,cosine,0.05,1,1,8,1,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,13,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.515131413936615,,,,0.04162976789702262,0.8281862735748291,cosine,0.05,1,1,8,13,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,37,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.5742612481117249,,,,0.04140605436957739,0.8258554935455322,cosine,0.05,1,1,8,37,seed_fix_ablation
,sign_aware,5.0,init+constraint+cosine,,Nothing to run: rank is None and run_baseline is False,,,,,cosine,0.05,,,full,77,seed_fix_ablation
leaky_relu,sign_aware,5.0,init+constraint+cosine,0.19373473525047302,,,,0.2640247056020883,0.3382406234741211,cosine,0.05,1,1,8,77,seed_fix_ablation
