activation,control_ssim,finetune_lr,finetune_optimizer,full_coeff_error,full_ssim,lora_coeff_error,lora_ssim,lr_schedule,n_per_class,n_steps,rank,seed,task
leaky_relu,0.22085967659950256,0.001,adamw,0.0015759987150940245,0.3730663061141968,,,inv_T,1,10,,314,b6_seeds
leaky_relu,0.22461335361003876,0.001,adamw,,,0.004302686267833939,0.3672916889190674,inv_T,1,10,8,314,b6_seeds
leaky_relu,0.4456055462360382,0.01,sgd,0.2288135618792412,0.5465039014816284,,,constant,1,1,,500,b6_seeds
leaky_relu,0.4456055462360382,0.01,sgd,,,0.2288135619123641,0.5465039014816284,constant,1,1,8,500,b6_seeds
leaky_relu,0.4456055462360382,0.01,sgd,0.22881356187924043,0.5465039014816284,,,inv_T,1,10,,500,b6_seeds
leaky_relu,0.4456055462360382,0.01,sgd,,,0.2288135619123641,0.5465039014816284,inv_T,1,10,8,500,b6_seeds
leaky_relu,0.40481284260749817,0.001,adamw,0.23412410589128202,0.5016037225723267,,,constant,1,1,,500,b6_seeds
leaky_relu,0.4047194719314575,0.001,adamw,,,0.23359991456087031,0.5012977123260498,constant,1,1,8,500,b6_seeds
leaky_relu,0.40481436252593994,0.001,adamw,0.23412970273291422,0.5016047358512878,,,inv_T,1,10,,500,b6_seeds
leaky_relu,0.4047195315361023,0.001,adamw,,,0.23360008060244353,0.5012977123260498,inv_T,1,10,8,500,b6_seeds
leaky_relu,0.3417292535305023,0.01,sgd,0.24066713053672512,0.5159918069839478,,,constant,1,1,,777,b6_seeds
leaky_relu,0.3417292535305023,0.01,sgd,,,0.24066719218178723,0.515991747379303,constant,1,1,8,777,b6_seeds
leaky_relu,0.3417292535305023,0.01,sgd,0.24066713053677485,0.5159918069839478,,,inv_T,1,10,,777,b6_seeds
leaky_relu,0.3417292535305023,0.01,sgd,,,0.2406671921817902,0.515991747379303,inv_T,1,10,8,777,b6_seeds
leaky_relu,0.19184476137161255,0.001,adamw,0.00204748340238867,0.3567044734954834,,,constant,1,1,,777,b6_seeds
leaky_relu,0.1953057497739792,0.001,adamw,,,0.008209815852466851,0.35195180773735046,constant,1,1,8,777,b6_seeds
leaky_relu,0.19223006069660187,0.001,adamw,0.002909292138767703,0.3554556965827942,,,inv_T,1,10,,777,b6_seeds
leaky_relu,0.19573625922203064,0.001,adamw,,,0.008844648319832081,0.35224807262420654,inv_T,1,10,8,777,b6_seeds
leaky_relu,0.41209614276885986,0.01,sgd,0.25950482679343323,0.5483315587043762,,,constant,1,1,,1234,b6_seeds
leaky_relu,0.41209614276885986,0.01,sgd,,,0.2595048267921091,0.5483315587043762,constant,1,1,8,1234,b6_seeds
leaky_relu,0.41209614276885986,0.01,sgd,0.2595048267934334,0.5483315587043762,,,inv_T,1,10,,1234,b6_seeds
leaky_relu,0.41209614276885986,0.01,sgd,,,0.2595048267921091,0.5483315587043762,inv_T,1,10,8,1234,b6_seeds
leaky_relu,0.3680262565612793,0.001,adamw,0.2655728464051409,0.5034580230712891,,,constant,1,1,,1234,b6_seeds
leaky_relu,0.3669450879096985,0.001,adamw,,,0.2621638266289776,0.5023520588874817,constant,1,1,8,1234,b6_seeds
leaky_relu,0.3680264353752136,0.001,adamw,0.26557335488053524,0.5034582018852234,,,inv_T,1,10,,1234,b6_seeds
leaky_relu,0.36694514751434326,0.001,adamw,,,0.2621640034758384,0.5023521184921265,inv_T,1,10,8,1234,b6_seeds
leaky_relu,0.39705291390419006,0.01,sgd,0.24962873022071785,0.5749578475952148,,,constant,1,1,,2025,b6_seeds
leaky_relu,0.39705291390419006,0.01,sgd,,,0.2496287746207238,0.5749578475952148,constant,1,1,8,2025,b6_seeds
leaky_relu,0.39705291390419006,0.01,sgd,0.24962873022074156,0.5749578475952148,,,inv_T,1,10,,2025,b6_seeds
leaky_relu,0.39705291390419006,0.01,sgd,,,0.2496287746207244,0.5749578475952148,inv_T,1,10,8,2025,b6_seeds
